,Name,Neuron,Cond,LatentVar1,LatentVar2,LatentVar3,LatentVar4
1484,{SPDR}_{STAM_aversive_trained_OFF}_{LEIFstavTrained24BUT_offStep_lev},SPDR,STAM_aversive_trained_OFF,-1.8504500742714518,0.5821381994320295,-2.5642037338762984,-0.8547209589818539
1485,{ADLL}_{LTAM_appetitive_mock_OFF}_{LEIFLTAPMock315BUT_offStep_lev},ADLL,LTAM_appetitive_mock_OFF,0.09563501492276659,0.21296280075758434,0.07431964166868726,0.1392523480181618
1486,{ASIR}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained2BUT_offStep_lev},ASIR,LTAM_appetitive_trained_OFF,0.03902549755323559,-0.26058325159937146,-0.2734565035676611,0.15031573515239458
1487,{AVEL}_{STAM_appetitive_trained_OFF}_{LEIFstapTrained21BUT_offStep_lev},AVEL,STAM_appetitive_trained_OFF,-1.064839170186157,-0.18950489831530948,-0.7699315693256596,-1.2736739827623798
1488,{ASIR}_{LTAM_aversive_trained_OFF}_{LEIFLTAVTrained4BUT_offStep_lev},ASIR,LTAM_aversive_trained_OFF,0.2278220972769087,0.16356281115928198,-0.13575118521279314,0.19776899217577576
1489,{AWAL}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained8BUT_offStep_lev},AWAL,LTAM_appetitive_trained_OFF,0.08598561600163693,0.14048440903093698,0.06421201078642756,0.1079073060275466
1490,{AVJL}_{STAM_appetitive_trained_ON}_{LEIFstapTrained2BUT_onStep_lev},AVJL,STAM_appetitive_trained_ON,0.0789127142868412,0.07241220654052985,-0.321326403977428,0.09247615940230959
1491,{AWCL}_{STAM_appetitive_mock_ON}_{LEIFstapMOCK41BUT_onStep_lev},AWCL,STAM_appetitive_mock_ON,-1.0663034717297906,0.03187158910177907,0.6537796024831126,0.4259528125705656
1492,{AVAR}_{STAM_appetitive_mock_ON}_{LEIFStapMOCK36BUT_onStep_lev},AVAR,STAM_appetitive_mock_ON,-0.8498108329347979,0.5803748768548787,5.319399322631819,-1.9873634283146842
1493,{ASIL}_{LTAM_aversive_trained_ON}_{LEIFltavTrained8BUT_onStep_lev},ASIL,LTAM_aversive_trained_ON,0.058676106012101124,0.0732827711499332,-0.01563163500258296,0.19398607814245591
1494,{ASGR}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained2BUT_onStep_lev},ASGR,LTAM_appetitive_trained_ON,0.266958342228477,0.19235414671936157,-0.20380241668879975,0.14341099818342457
1495,{AVBR}_{STAM_appetitive_trained_OFF}_{LEIFstapTrained34BUT_offStep_lev},AVBR,STAM_appetitive_trained_OFF,0.11572360892993944,0.05292198114311469,-0.18296068306955848,0.09699590509925081
1496,{AWCR}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained213BUT_offStep_lev},AWCR,LTAM_appetitive_trained_OFF,0.09840463961921876,-0.5222650962529317,-0.35784872566617065,-0.13256314275671485
1497,{AVDL}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained2BUT_offStep_lev},AVDL,LTAM_appetitive_trained_OFF,-0.4552992052971429,0.3592731386334764,0.9287972768050322,0.10152101844429791
1498,{AWBL}_{STAM_appetitive_mock_OFF}_{LEIFStapMOCK41BUT_offStep_lev},AWBL,STAM_appetitive_mock_OFF,0.34395172777528404,-0.23718119001386467,0.09242598738648168,-0.15819387527752268
1499,{ASGR}_{STAM_appetitive_mock_ON}_{LEIFStapMOCK42BUT_onStep_lev},ASGR,STAM_appetitive_mock_ON,-0.04908193729224519,-0.4698688299082248,0.6006315442470318,-0.10314120000820254
1500,{ASKR}_{naive_OFF}_{LEIFnaive7BUT_offStep},ASKR,naive_OFF,-0.10604322959468258,0.05591971946233844,0.2539680384563328,-0.0977102469967607
1501,{ASHR}_{LTAM_aversive_mock_ON}_{LEIFLtavMOCK1BUT_onStep_lev},ASHR,LTAM_aversive_mock_ON,-0.4215938752987696,-0.8931916300505517,1.513879783395685,-0.47093991158812754
1502,{RIML}_{STAM_appetitive_trained_ON}_{LEIFstapTrained22BUT_onStep_lev},RIML,STAM_appetitive_trained_ON,-3.6596999563880015,-1.35310519202662,0.5498735404894906,-0.832073647945672
1503,{ASIR}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained2BUT_onStep_lev},ASIR,LTAM_appetitive_trained_ON,0.011233573083477515,0.21357199612908215,0.035711997708757624,0.17979727254455746
1504,{AWAR}_{LTAM_appetitive_trained_ON}_{LEIFLTAPTrained314BUT_onStep_lev},AWAR,LTAM_appetitive_trained_ON,0.2567301542600781,-0.16865347880540507,-0.11183442355243976,-0.15783441138182427
1505,{ASIR}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained112BUT_offStep_lev},ASIR,LTAM_appetitive_trained_OFF,0.09759641703520744,0.04959654590951424,-0.3164841925391998,0.11890317342592929
1506,{AVEL}_{STAM_appetitive_mock_ON}_{LEIFStapMOCK33BUT_onStep_lev},AVEL,STAM_appetitive_mock_ON,-2.041896243304585,1.9630427782092068,3.2923811849441624,-0.13313072452535957
1507,{ASIR}_{STAM_appetitive_mock_ON}_{LEIFStapMOCK34BUT_onStep_lev},ASIR,STAM_appetitive_mock_ON,0.23994292527115194,0.16341212437740651,-0.22302081351432765,0.1630447771415724
1508,{AVEL}_{LTAM_aversive_trained_ON}_{LEIFLTAVTrained13BUT_onStep_lev},AVEL,LTAM_aversive_trained_ON,-1.5584127922510334,-0.2331909297737386,-0.5055252797092662,-1.493894878287086
1509,{AVER}_{STAM_aversive_mock_ON}_{LEIFmockSTAV21BUT_onStep_lev},AVER,STAM_aversive_mock_ON,-5.807612753005488,-3.1376114771871615,-5.57177279235676,0.4205739844103805
1510,{URXL}_{STAM_appetitive_mock_OFF}_{LEIFstapMock1BUT_offStep_lev},URXL,STAM_appetitive_mock_OFF,-0.7365107651590321,-3.7681915553377263,-1.3946394743152446,-0.452687982073755
1511,{ASGL}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained1BUT_offStep_lev},ASGL,LTAM_appetitive_trained_OFF,0.2388126035952613,0.12493118730528531,-0.20227940852100113,0.18315422755282107
1512,{RMEL}_{STAM_appetitive_mock_ON}_{LEIFStapMOCK53BUT_onStep_lev},RMEL,STAM_appetitive_mock_ON,-0.9867180748735079,-0.4454889057277123,0.6069542460309888,-0.38722094514725747
1513,{ASJR}_{LTAM_aversive_trained_OFF}_{LEIFLTAVTrained7BUT_offStep_lev},ASJR,LTAM_aversive_trained_OFF,0.73589040168547,-1.699922582159403,0.45781342936207703,-0.37898146455529375
1514,{ADLR}_{STAM_appetitive_trained_ON}_{LEIFstapTrained33BUT_onStep_lev},ADLR,STAM_appetitive_trained_ON,-0.9871077474997202,0.005734999356557293,-0.4769401342926104,-0.2583580889600317
1515,{RIML}_{STAM_appetitive_mock_ON}_{LEIFstapMOCK41BUT_onStep_lev},RIML,STAM_appetitive_mock_ON,-0.32616143723603674,-0.21926552257609128,0.013746856578393522,0.021101289970350597
1516,{AVJR}_{LTAM_aversive_trained_ON}_{LEIFLTAVTrained7BUT_onStep_lev},AVJR,LTAM_aversive_trained_ON,-0.3715665729076783,0.34217634793921153,-0.1329296062615161,-0.028101013217388823
1517,{ASKR}_{STAM_appetitive_trained_OFF}_{LEIFstapTrained22BUT_offStep_lev},ASKR,STAM_appetitive_trained_OFF,-1.0452989861796222,0.06640610548094401,0.22662014466480326,0.17993266142606848
1518,{ASGL}_{LTAM_appetitive_trained_OFF}_{LEIFLTAPTrained8BUT_offStep_lev},ASGL,LTAM_appetitive_trained_OFF,0.21278783905573054,0.13917994996272195,-0.12809735915479725,0.17508190174204294
1519,{ADLR}_{LTAM_appetitive_mock_OFF}_{LEIFLTAPMock1BUT_offStep_lev},ADLR,LTAM_appetitive_mock_OFF,0.19437184950770797,0.14579404178119001,-0.09248804676501038,0.22545713482136348
1520,{ASKL}_{LTAM_aversive_trained_OFF}_{LEIFLTAVTrained16BUT_offStep_lev},ASKL,LTAM_aversive_trained_OFF,-1.3050511081770153,-0.37933281284744785,1.0893983614323195,-0.720188471837396
1521,{AWBR}_{LTAM_aversive_mock_ON}_{LEIFLtavMOCK10BUT_onStep_lev},AWBR,LTAM_aversive_mock_ON,0.16010891488973508,0.010873111170800845,-0.144381008750181,0.17930703307448204
